Date,Gold(USD)_Open,Gold(USD)_High,Gold(USD)_Low,Gold(USD)_Price,Gold(USD)_Volume,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,PHLX_Open,PHLX_High,PHLX_Low,PHLX_Close,SP500_Open,SP500_High,SP500_Low,SP500_Close,SP500_Volume,USD/TWD_Open,USD/TWD_High,USD/TWD_Low,USD/TWD_Price,投信買賣超金額,外資買賣超金額,自營買賣超金額,電子期_Open,電子期_High,電子期_Low,電子期_Close,金融期_Open,金融期_High,金融期_Low,金融期_Close,台指期_Open,台指期_High,台指期_Low,台指期_Close,50_Open,50_High,50_Low,50_Close,50_Volume,50_Sign,51_Open,51_High,51_Low,51_Close,51_Volume,51_Sign,52_Open,52_High,52_Low,52_Close,52_Volume,52_Sign,53_Open,53_High,53_Low,53_Close,53_Volume,53_Sign,54_Open,54_High,54_Low,54_Close,54_Volume,54_Sign,55_Open,55_High,55_Low,55_Close,55_Volume,55_Sign,56_Open,56_High,56_Low,56_Close,56_Volume,56_Sign,57_Open,57_High,57_Low,57_Close,57_Volume,57_Sign,58_Open,58_High,58_Low,58_Close,58_Volume,58_Sign,59_Open,59_High,59_Low,59_Close,59_Volume,59_Sign,6201_Open,6201_High,6201_Low,6201_Close,6201_Volume,6201_Sign,6203_Open,6203_High,6203_Low,6203_Close,6203_Volume,6203_Sign,6204_Open,6204_High,6204_Low,6204_Close,6204_Volume,6204_Sign,6208_Open,6208_High,6208_Low,6208_Close,6208_Volume,6208_Sign,690_Open,690_High,690_Low,690_Close,690_Volume,690_Sign,692_Open,692_High,692_Low,692_Close,692_Volume,692_Sign,701_Open,701_High,701_Low,701_Close,701_Volume,701_Sign,713_Open,713_High,713_Low,713_Close,713_Volume,713_Sign
20130116,"1,674.40","1,680.50","1,674.40","1,682.70",10.0,3110.719971,3124.649902,3106.790039,3117.540039,1692380000.0,399.730011,405.51001,399.630005,404.459991,1472.329956,1473.959961,1467.599976,1472.630005,3384080000.0,28.945,29.022,28.935,28.980999999999998,"-1,051","-4,166",-440,287.1,288.0,285.2,286.85,853.6,856.2,850.2,851.4,"7,750","7,769","7,698","7,717",54.05,54.05,53.7,53.7,"8,142",-1,25.91,25.96,25.72,25.73,50,-1,32.02,32.39,32.02,32.05,10,-1,23.0,23.0,23.0,23.0,1,1,19.1,19.18,19.1,19.1,9,-1,11.55,11.56,11.47,11.48,"1,107",-1,23.07,23.14,22.99,23.08,940,1,31.7,31.7,31.7,31.7,2,-1,32.45,32.45,32.45,32.45,0,0,24.87,24.87,24.87,24.87,2,-1,10.33,10.33,10.22,10.27,54,-1,26.15,26.15,26.15,26.15,2,1,38.58,38.58,38.29,38.3,666,-1,30.8,30.8,30.59,30.61,107,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130117,"1,676.40","1,694.60","1,671.00","1,690.40",80.0,3130.48999,3144.050049,3125.790039,3136.0,1766510000.0,405.299988,413.269989,405.299988,412.52999900000003,1472.630005,1485.160034,1472.630005,1480.939941,3706710000.0,28.965,29.04,28.945,28.959,-248,"3,355","-1,933",286.25,289.3,282.6,283.9,850,859.2,837,840,"7,702","7,767","7,582","7,612",53.9,54.2,53.2,53.3,"10,084",-1,25.75,25.95,25.45,25.5,122,-1,32.51,32.51,31.74,31.74,10,-1,23.0,23.15,22.5,22.5,53,-1,19.25,19.25,18.62,18.99,18,-1,11.54,11.59,11.3,11.34,"4,786",-1,23.1,23.21,22.78,22.82,"1,183",-1,31.98,32.5,31.98,32.5,9,1,32.47,34.42,32.47,34.42,5,1,25.05,25.05,25.03,25.03,6,1,10.27,10.34,10.17,10.17,216,-1,26.15,26.15,26.15,26.15,2,0,38.51,38.73,37.84,37.9,924,-1,30.8,30.9,30.28,30.3,32,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130118,"1,687.40","1,692.00","1,687.30","1,686.60",10.0,3127.909912,3134.72998,3119.199951,3134.709961,1860070000.0,409.679993,412.160004,408.679993,410.640015,1480.949951,1485.97998,1475.810059,1485.97998,3795740000.0,28.96,28.99,28.93,28.969,-46,"3,425",366,286.7,287.9,285.85,287.4,848.8,852,847.4,851.2,"7,692","7,723","7,666","7,711",53.95,53.95,53.7,53.95,"5,410",1,25.5,25.8,25.5,25.56,92,1,32.4,32.4,32.38,32.38,2,1,22.87,22.87,22.58,22.63,16,1,19.2,19.2,19.15,19.17,3,1,11.42,11.46,11.42,11.45,"1,222",1,22.95,23.08,22.95,23.06,504,1,32.5,32.5,32.5,32.5,0,0,34.42,34.42,34.42,34.42,0,0,24.82,25.19,24.82,25.19,2,1,10.2,10.23,10.06,10.23,47,1,25.95,25.95,25.95,25.95,2,-1,38.34,38.42,38.25,38.42,242,1,30.73,30.74,30.72,30.73,4,1,,,,,,,,,,,,,,,,,,,,,,,,
20130121,,,,,,,,,,,,,,,,,,,,28.945,29.035,28.935,28.965,-512,-153,205,286.55,288.2,284.95,287.2,848.2,855.8,845.2,852.6,"7,683","7,736","7,645","7,703",53.95,54.05,53.55,53.9,"4,525",-1,25.57,25.78,25.54,25.7,105,1,32.25,32.25,32.2,32.2,2,-1,22.63,22.63,21.3,22.46,462,-1,19.2,19.2,18.72,19.0,86,-1,11.45,11.53,11.41,11.51,"2,250",1,23.05,23.18,23.01,23.15,563,1,31.91,31.91,31.47,31.47,7,-1,32.7,32.7,32.03,32.03,12,-1,25.19,25.19,25.19,25.19,0,0,10.21,10.34,10.21,10.3,38,1,26.0,26.34,26.0,26.34,4,1,38.38,38.56,38.2,38.46,275,1,30.73,30.86,30.73,30.86,11,1,,,,,,,,,,,,,,,,,,,,,,,,
20130122,"1,690.30","1,694.70","1,687.80","1,692.80",20.0,3135.6298829999996,3143.179932,3121.540039,3143.179932,1790730000.0,410.290009,410.290009,407.059998,409.600006,1485.97998,1492.560059,1481.160034,1492.560059,3570950000.0,28.965,29.046999999999997,28.945,28.991,229,"2,699",673,288.1,289.55,286.15,289.2,855,858.8,850.2,856.6,"7,722","7,765","7,672","7,751",54.3,54.3,53.7,54.05,"10,501",1,25.78,25.8,25.7,25.76,65,1,32.34,32.34,32.34,32.34,1,1,22.48,22.74,22.44,22.74,129,1,18.85,19.05,18.77,19.05,68,1,11.5,11.56,11.47,11.55,"1,356",1,23.15,23.28,23.14,23.25,930,1,31.47,31.47,31.47,31.47,0,0,31.64,31.83,31.64,31.83,9,-1,25.0,25.0,24.73,24.73,39,-1,10.25,10.37,10.25,10.37,144,1,26.05,26.05,26.05,26.05,4,-1,38.53,38.73,38.33,38.65,479,1,30.7,30.94,30.7,30.91,19,1,,,,,,,,,,,,,,,,,,,,,,,,
20130123,"1,691.30","1,693.70","1,685.20","1,686.30",30.0,3155.820068,3161.060059,3149.73999,3153.669922,1698190000.0,411.920013,414.440002,409.920013,413.880005,1492.560059,1496.130005,1489.900024,1494.810059,3552010000.0,28.98,29.07,28.97,28.998,-295,"2,207",-129,290.15,290.35,287.65,288.25,859,859.4,852.6,853.6,"7,777","7,788","7,714","7,723",54.2,54.3,53.9,54.0,"7,266",-1,25.88,25.88,25.76,25.81,83,1,32.5,32.5,31.85,31.85,4,-1,22.78,22.94,22.78,22.94,21,1,19.05,19.19,19.05,19.1,20,1,11.56,11.57,11.5,11.5,989,-1,23.25,23.3,23.14,23.14,"1,018",-1,31.78,32.25,31.78,32.25,8,1,31.92,31.92,31.89,31.9,4,1,24.91,24.91,24.9,24.9,4,1,10.38,10.4,10.36,10.37,155,0,26.25,26.33,26.25,26.25,99,1,38.75,38.75,38.51,38.57,172,-1,30.99,31.0,30.83,30.83,8,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130124,"1,680.80","1,681.70","1,668.00","1,669.50",10.0,3125.669922,3153.560059,3124.449951,3130.3798829999996,2046990000.0,409.23999,413.880005,407.440002,410.23999,1494.810059,1502.27002,1489.459961,1494.819946,3699430000.0,28.97,29.115,28.96,29.112,-914,"-8,592",-756,286.5,287.95,284.05,286.6,851.2,855.6,843.8,850.8,"7,688","7,728","7,625","7,682",53.75,53.9,53.25,53.7,"11,334",-1,25.61,25.78,25.56,25.7,86,-1,32.25,32.25,32.25,32.25,4,1,22.6,22.77,22.57,22.77,51,-1,18.86,19.0,18.8,18.97,33,-1,11.49,11.55,11.4,11.44,"3,424",-1,23.12,23.18,23.04,23.09,"2,502",-1,31.51,31.51,31.51,31.51,1,-1,31.56,31.56,31.42,31.47,8,-1,24.71,24.77,24.71,24.77,34,-1,10.4,10.4,10.3,10.35,127,-1,25.95,26.1,25.8,26.1,93,-1,38.31,38.52,38.07,38.26,678,-1,30.63,30.7,30.45,30.53,44,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130125,"1,663.00","1,663.00","1,657.20","1,656.40",40.0,3140.649902,3156.199951,3135.860107,3149.709961,1920250000.0,412.790009,417.359985,412.769989,415.440002,1494.819946,1503.26001,1494.819946,1502.959961,3476290000.0,29.065,29.324,29.031999999999996,29.311,76,"-2,357",-316,286.05,287.0,284.4,286.0,850.4,852,845,850.2,"7,662","7,688","7,612","7,649",53.65,53.7,53.2,53.5,"8,521",-1,25.6,25.6,25.6,25.6,3,-1,32.21,32.21,32.14,32.14,2,-1,22.69,22.69,22.59,22.59,5,-1,19.0,19.0,18.75,18.94,6,-1,11.44,11.51,11.42,11.46,"2,001",1,23.06,23.16,23.06,23.1,"1,416",1,31.58,31.58,31.58,31.58,1,1,31.47,31.47,31.47,31.47,0,0,24.77,24.77,24.77,24.77,0,0,10.33,10.33,10.25,10.33,33,-1,25.8,25.8,25.8,25.8,5,-1,38.21,38.33,37.99,38.18,372,-1,30.54,30.54,30.37,30.37,8,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130128,"1,651.60","1,655.50","1,651.60","1,652.40",80.0,3152.169922,3161.830078,3144.889893,3154.300049,1935590000.0,416.040009,417.709991,414.98999,416.160004,1502.959961,1503.22998,1496.329956,1500.180054,3388540000.0,29.25,29.593000000000004,29.25,29.489,-574,"3,720",121,285.05,288.55,284.55,288.45,852.8,863,850.6,863,"7,620","7,731","7,620","7,730",53.7,53.95,53.65,53.75,"8,708",1,25.7,25.86,25.69,25.8,134,1,32.3,32.3,32.3,32.3,1,1,22.69,22.77,22.69,22.77,32,1,18.92,19.01,18.91,19.01,421,1,11.53,11.66,11.53,11.66,"4,153",1,23.16,23.24,23.15,23.22,"1,975",1,31.57,31.6,31.56,31.6,4,1,31.0,31.48,31.0,31.48,3,1,24.88,25.11,24.88,25.11,6,1,10.33,10.33,10.25,10.31,42,-1,26.0,26.14,26.0,26.14,28,1,38.33,38.47,38.28,38.46,237,1,30.67,30.79,30.67,30.71,14,1,,,,,,,,,,,,,,,,,,,,,,,,
20130129,"1,661.20","1,661.50","1,660.70","1,660.70",20.0,3149.6201170000004,3156.939941,3133.110107,3153.659912,2050670000.0,414.27999900000003,415.040009,411.959991,413.27999900000003,1500.180054,1509.349976,1498.089966,1507.839966,3949640000.0,29.482,29.703000000000003,29.42,29.43,-129,"7,607","1,597",289.35,293.0,289.0,292.8,862,865.6,860.2,864.6,"7,759","7,822","7,736","7,819",53.95,54.5,53.95,54.5,"21,973",1,25.8,26.15,25.8,26.1,232,1,32.67,32.88,32.66,32.88,17,1,22.78,23.19,22.78,23.19,132,1,19.14,19.28,19.02,19.28,89,1,11.68,11.69,11.63,11.69,"1,955",1,23.35,23.46,23.31,23.42,"2,021",1,31.86,32.1,31.86,32.1,14,1,31.76,31.95,31.76,31.95,7,1,25.07,25.22,25.07,25.22,7,1,10.32,10.45,10.32,10.41,223,1,26.2,26.49,26.2,26.49,15,1,38.68,38.97,38.61,38.96,"1,070",1,30.85,31.21,30.85,31.21,83,1,,,,,,,,,,,,,,,,,,,,,,,,
20130130,"1,662.40","1,683.20","1,661.80","1,679.90",44890.0,3157.429932,3164.060059,3135.830078,3142.310059,2014350000.0,413.290009,416.410004,413.230011,414.100006,1507.839966,1509.939941,1500.109985,1501.959961,3726810000.0,29.438000000000002,29.592,29.42,29.53,240,"8,063",490,293.1,293.5,291.3,291.5,870,876.8,864.6,865,"7,846","7,859","7,791","7,800",54.5,54.75,54.45,54.6,"21,672",1,26.1,26.34,26.07,26.09,340,-1,32.9,33.0,32.9,33.0,18,1,23.19,23.23,23.14,23.23,75,1,19.3,19.39,19.15,19.34,21,1,11.72,11.82,11.72,11.78,"3,104",1,23.5,23.68,23.48,23.64,"1,848",1,32.1,32.1,32.1,32.1,0,0,32.0,32.0,32.0,32.0,3,1,25.3,25.55,25.3,25.55,5,1,10.45,10.54,10.45,10.48,85,1,26.5,26.6,26.5,26.6,28,1,39.08,39.18,39.0,39.08,934,1,31.19,31.3,31.17,31.2,101,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130131,"1,675.40","1,680.00","1,657.40","1,660.60",6040.0,3140.669922,3154.179932,3136.820068,3142.1298829999996,2190840000.0,414.929993,416.149994,411.959991,412.730011,1501.959961,1504.189941,1496.76001,1498.109985,3999880000.0,29.495,29.595,29.495,29.545,211,"5,417",-297,291.5,292.5,290.25,292.3,865.8,881.4,865.2,881.4,"7,815","7,850","7,778","7,848",54.5,54.6,54.3,54.6,"12,643",0,26.43,26.5,26.27,26.35,182,1,32.65,32.65,32.61,32.61,12,-1,23.07,23.18,22.95,23.18,128,-1,19.29,19.33,19.26,19.33,29,-1,11.74,11.86,11.73,11.86,"2,615",1,23.65,23.76,23.63,23.76,"2,894",1,32.12,32.12,32.02,32.02,16,-1,31.87,31.87,31.87,31.87,4,-1,25.55,25.55,25.55,25.55,0,0,10.44,10.47,10.44,10.47,49,-1,26.45,26.5,26.4,26.45,106,-1,38.95,39.12,38.82,39.12,340,1,31.17,31.2,31.05,31.2,49,0,,,,,,,,,,,,,,,,,,,,,,,,
20130201,"1,663.90","1,681.20","1,659.90","1,669.40",3250.0,3162.939941,3183.139893,3154.909912,3179.100098,2012930000.0,415.73999,420.950012,415.230011,420.549988,1498.109985,1514.410034,1498.109985,1513.170044,3836320000.0,29.53,29.647,29.51,29.62,119,"6,130",495,293.1,294.5,291.75,292.35,880.2,884.2,877,881.8,"7,859","7,901","7,825","7,858",54.7,54.85,54.6,54.8,"15,057",1,26.35,26.55,26.35,26.4,320,1,33.11,33.11,33.11,33.11,2,1,23.18,23.26,23.17,23.26,14,1,19.4,19.45,19.4,19.44,9,1,11.86,11.94,11.86,11.93,"4,559",1,23.76,23.89,23.76,23.83,"1,888",1,32.17,32.5,32.17,32.5,7,1,32.03,32.03,32.03,32.03,1,1,25.52,25.64,25.52,25.64,7,1,10.47,10.59,10.45,10.56,432,1,26.6,26.7,26.55,26.7,17,1,39.2,39.32,39.06,39.27,563,1,31.26,31.38,31.25,31.32,32,1,,,,,,,,,,,,,,,,,,,,,,,,
20130204,"1,668.00","1,676.50","1,661.60","1,675.30",450.0,3161.719971,3169.6298829999996,3130.570068,3131.169922,1874750000.0,417.549988,421.540009,414.119995,414.179993,1513.170044,1513.170044,1495.02002,1495.709961,3390000000.0,29.62,29.628,29.52,29.595,-743,"8,073",996,293.45,294.45,292.55,293.85,885.2,919.2,884.6,914.2,"7,878","7,952","7,872","7,940",54.85,55.4,54.85,55.2,"30,980",1,26.4,26.75,26.4,26.7,458,1,33.2,33.2,33.01,33.01,3,-1,23.26,23.3,23.02,23.3,65,1,19.45,19.51,19.44,19.5,173,1,11.98,12.44,11.96,12.36,"7,832",1,23.9,23.99,23.85,23.9,"1,750",1,32.4,32.7,32.4,32.7,9,1,32.18,32.18,32.18,32.18,10,1,25.79,26.5,25.79,26.5,9,1,10.57,10.63,10.56,10.6,57,1,26.7,26.9,26.7,26.9,23,1,39.36,39.65,39.35,39.56,"1,062",1,31.41,31.68,31.41,31.6,178,1,,,,,,,,,,,,,,,,,,,,,,,,
